ID,Question,Option1,Option2,Option3,Option4,Answer,Explanation
1,"原子の中心にある「原子核」を構成している粒子の組合せとして正しいものはどれか。",陽子と電子,陽子と中性子,中性子と電子,陽子のみ,2,"原子核は、プラスの電荷をもつ陽子と、電荷をもたない中性子から構成されています。電子は原子核の周りを回っています。"
2,"原子番号が同じで、中性子の数が異なるために質量数が異なる原子同士の関係を何というか。",同位体,放射性同位体,半減期,元素,1,"同位体は、陽子の数（原子番号）は同じですが、中性子の数が異なる原子のことです。"
3,"質量数が4、原子番号が2のヘリウム原子(He)に含まれる中性子の数はいくつか。",1,2,4,6,2,"原子番号＝陽子の数(2)、質量数＝陽子の数＋中性子の数(4) です。したがって、中性子の数＝質量数－原子番号＝4－2＝2 となります。"
4,"放射線を放出し、別の原子に変わる同位体のことを特に何というか。",半減期,電子,陽子,放射性同位体,4,"放射線を放出する性質をもつ同位体を放射性同位体と呼びます。"
5,"原子核の周りの電子殻のうち、内側から2番目にあたるL殻に収容できる最大の電子数はいくつか。",2個,8個,18個,32個,2,"内側からn番目の電子殻の最大収容数は 2n² 個で計算されます。K殻(n=1)は2個、L殻(n=2)は 2×2²=8(個) となります。"
6,"原子の最外殻電子のうち、他の原子と結びつくときに重要な役割を果たし、18族元素(貴ガス)では0個と数えられる電子を何というか。",電子殻,価電子,中性子,閉殻,2,"価電子は、原子同士の結合に関わる電子です。貴ガス(18族)は安定で結びつきにくいため、価電子は0個と数えます。"
7,"元素の性質が、原子番号とともに周期的に変化するという法則を何というか。",元素の周期表,元素の周期律,電子配置,閉殻,2,"この法則を「元素の周期律」と呼びます。この周期律に基づいて作られた表が「元素の周期表」です。"
8,"ヘリウム(He)の最外殻電子の数と、価電子の数はそれぞれいくつか。",2個と2個,2個と0個,0個と2個,8個と0個,2,"ヘリウム(He)はK殻に2個の電子があり、これが最外殻です(最外殻電子は2個)。しかし、Heは貴ガス(18族)であり化学的に安定しているため、例外的に価電子は0個と数えます。"
9,"周期表の「縦の列」を何と呼ぶか。また、同じ列に属する元素同士を何と呼ぶか。",周期・同族元素,族・同族元素,周期・典型元素,族・遷移元素,2,"周期表の縦の列を「族」（1〜18族）と呼びます。同じ族に属する元素は性質が似ており、「同族元素」と呼ばれます。"
10,"周期表の「横の行」を何と呼ぶか。",周期,族,同族元素,典型元素,1,"周期表の横の行を「周期」（第1〜7周期）と呼びます。"
11,"周期表の3〜12族に属する元素群を何と呼ぶか。また、これらの元素の性質として正しいものはどれか。",典型元素・すべて金属元素,遷移元素・すべて金属元素,典型元素・非金属元素を含む,遷移元素・非金属元素を含む,2,"3〜12族の元素を「遷移元素」と呼びます。これらはすべて金属元素です。"
12,"正または負の電荷をもった粒子のことを何というか。",イオン,陽イオン,陰イオン,多原子イオン,1,"イオンは、原子が電子を失ったり受け取ったりして、正または負の電荷をもった粒子のことです。"
13,"原子が価電子を失うことによって形成される、正の電荷をもつイオンを何というか。",陰イオン,陽イオン,貴ガス,硫酸イオン,2,"陽イオンは、原子が価電子を失う（電子がマイナスなので）ことで生じる、正(プラス)の電荷をもつイオンです。例: Na+"
