No,Question,Option1,Option2,Option3,Option4,Answer,Explanation
1,"温度一定で1.0&times;10<sup>5</sup> Pa, 3.0 Lの気体を3.0&times;10<sup>5</sup> Paにしたときの体積は？",1.0 L,4.5 L,9.0 L,1.5 L,1,"ボイルの法則(P1V1=P2V2)より、(1.0&times;10^5)&times;3.0 = (3.0&times;10^5)&times;V2、V2 = 1.0 Lです。圧力が3倍になると体積は1/3になります。"
2,"圧力一定で27 &deg;C, 3.0 Lの気体の温度を177 &deg;Cにすると体積は何Lになるか？",1.9 L,2.0 L,4.5 L,6.6 L,3,"シャルルの法則(V1/T1=V2T2)より、必ず絶対温度(K)に直します。T1=300 K、T2=450 K。3.0/300 = V2/450、V2 = 4.5 Lです。"
3,"27 &deg;C, 2.0&times;10<sup>5</sup> Paで10 Lの気体を0 &deg;C, 1.0&times;10<sup>5</sup> Paにしたときの体積は？",9.1 L,13.6 L,18.2 L,22.7 L,3,"ボイル・シャルルの法則(P1V1/T1=P2V2/T2)より、(2.0&times;10^5&times;10)/300 = (1.0&times;10^5&times;V2)/273。V2 = 18.2 Lです。"
4,"気体の状態方程式を正しく表したものはどれか？ (P:圧力, V:体積, n:物質量, T:絶対温度, R:気体定数)",PV = nRT,P/V = nRT,PT = nRV,PR = nVT,1,"気体の状態方程式は PV = nRT です。"
5,"次の反応エンタルピーの名称は？ H<sub>2</sub>O(液) &rarr; H<sub>2</sub>O(固) &Delta;H=-6.0 kJ",融解エンタルピー,昇華エンタルピー,気化エンタルピー,凝固エンタルピー,4,"液体が固体になる凝固反応のエンタルピー変化なので、凝固エンタルピーです。（融解はその逆反応）"
6,"次の反応エンタルピーの名称は？ Na(固) + 1/2Cl<sub>2</sub>(気) &rarr; NaCl(固) &Delta;H=-411 kJ",燃焼エンタルピー,溶解エンタルピー,結合エンタルピー,生成エンタルピー,4,"単体（Na, Cl2）から化合物が1 mol生成する反応なので、生成エンタルピーです。"
7,"酢酸ナトリウム(CH<sub>3</sub>COONa)水溶液の液性は？",酸性,塩基性,中性（強酸と強塩基の塩）,中性（弱酸と弱塩基の塩）,2,"弱酸(CH<sub>3</sub>COOH)と強塩基(NaOH)の塩であり、弱酸由来のイオンが加水分解してOH-を生じるため塩基性です。"
8,"塩化アンモニウム(NH<sub>4</sub>Cl)水溶液の液性は？",酸性,塩基性,中性（強酸と強塩基の塩）,中性（弱酸と弱塩基の塩）,1,"強酸(HCl)と弱塩基(NH<sub>4</sub>OH)の塩であり、弱塩基由来のイオンが加水分解してH+を生じるため酸性です。"
9,"炭素原子の数が4のアルカン(C<sub>4</sub>)の分子式は？",C<sub>4</sub>H<sub>8</sub>,C<sub>4</sub>H<sub>6</sub>,C<sub>4</sub>H<sub>10</sub>,C<sub>4</sub>H<sub>12</sub>,3,"アルカンの一般式 CnH2n+2 より、C<sub>4</sub>H<sub>10</sub> (ブタン)です。"
10,"炭素原子の数が5のアルケン(C<sub>5</sub>)の分子式は？",C<sub>5</sub>H<sub>10</sub>,C<sub>5</sub>H<sub>12</sub>,C<sub>5</sub>H<sub>8</sub>,C<sub>5</sub>H<sub>6</sub>,1,"アルケンの一般式 CnH2n より、C<sub>5</sub>H<sub>10</sub> (ペンテ*ン*)です。"
